"Name","Classes","LL","n","Parameters","AIC","BIC","saBIC","Entropy","prob_min","prob_max","n_min","n_max","warning","np_ratio","np_local"
"fixed_covs",2,-1118.54167219219,200,14,2265.08334438438,2311.25978751605,2266.90633852312,0.930496775185361,0.960663626129586,0.994273727750339,0.295,0.705,NA,14.2857142857143,9.07692307692308
"free_covs",2,-1117.96742315823,200,17,2269.93484631646,2326.00624154778,2272.14848205637,0.935358158836591,0.968027315923187,0.993110014815093,0.295,0.705,TRUE,11.7647058823529,7.375
