"comparison","null","alt","null_stat","alt_stat","lb","ub","sig"
"dif_seq","equal var 1","equal var 2",0.469206416435565,0.0690067871724098,-0.459109563903097,-0.328146462359208,"*"
"dif_seq","equal var 2","equal var 3",0.0690067871724098,0.0569509891380376,-0.0586921618417663,0.0355364547527764,""
"dif_one","equal var 1","equal var 2",0.469206416435565,0.0690067871724098,-0.459109563903097,-0.328146462359208,"*"
"dif_one","equal var 1","equal var 3",0.469206416435565,0.0569509891380376,-0.472934131524895,-0.351118050947184,"*"
