"Name","Classes","LL","n","Parameters","AIC","BIC","saBIC","Entropy","prob_min","prob_max","n_min","n_max","np_ratio","np_local"
"equal var 1",1,-2241.98197541881,513,8,4499.96395083762,4533.88615759899,4508.49285540015,1,1,1,1,1,64.125,64.125
"equal var 2",2,-2031.36515930378,513,13,4088.73031860755,4143.85390459477,4102.58978852166,0.740492165990585,0.911607424644993,0.929881250958827,0.419103313840156,0.580896686159844,39.4615384615385,35.8333333333333
"equal var 3",3,-1951.34918573464,513,18,3938.69837146927,4015.02333668235,3957.88840673496,0.779723750038277,0.886100858492166,0.914691496869994,0.187134502923977,0.543859649122807,28.5,18
"equal var 4",4,-1916.25349062682,513,23,3878.50698125364,3976.03332569257,3903.02758187091,0.75486988664848,0.81421454759797,0.915193644367645,0.155945419103314,0.34307992202729,22.304347826087,16
"equal var 5",5,-1910.20886466822,513,28,3876.41772933643,3995.14545300121,3906.26889530527,0.763446796036724,0.635156916043592,0.923161525068395,0.0799220272904483,0.34307992202729,18.3214285714286,8.54166666666667
