"label","lhs","op","rhs","est","se","pval","confint","est_sig","pval_std","confint_std","name","lbound","lboundmet","uboundmet","std_est","std_se","col","matrix","openmx_label","row","class","Category"
"Loadings.step.BY.scl5","step","=~","scl5","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class3.A[5,8]",NA,NA,NA,"0.00","0.00","step","A",NA,"scl5","class3","Loadings"
"Loadings.s.BY.scl5","s","=~","scl5","3.00","0.00","0.00","[3.00, 3.00]","3.00***",NA,"[0.00, 0.00]","class3.A[5,9]",NA,NA,NA,"0.00","0.00","s","A",NA,"scl5","class3","Loadings"
"Loadings.i.BY.scl6","i","=~","scl6","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class3.A[6,7]",NA,NA,NA,"0.00","0.00","i","A",NA,"scl6","class3","Loadings"
"Loadings.step.BY.scl6","step","=~","scl6","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class3.A[6,8]",NA,NA,NA,"0.00","0.00","step","A",NA,"scl6","class3","Loadings"
"Loadings.s.BY.scl6","s","=~","scl6","4.00","0.00","0.00","[4.00, 4.00]","4.00***",NA,"[0.00, 0.00]","class3.A[6,9]",NA,NA,NA,"0.00","0.00","s","A",NA,"scl6","class3","Loadings"
"Means.i","i","~1","1","0.63","0.01","0.00","[0.61, 0.65]","0.63***",NA,"[NA, NA]","class3.M[1,7]",NA,FALSE,FALSE," Inf",NA,"i","M","class3.M[1,7]","1","class3","Means"
"Means.step","step","~1","1","0.07","0.01","0.00","[0.05, 0.10]","0.07***",NA,"[NA, NA]","class3.M[1,8]",NA,FALSE,FALSE," Inf",NA,"step","M","class3.M[1,8]","1","class3","Means"
"Means.s","s","~1","1","0.01","0.00","0.13","[-0.00, 0.01]","0.01",NA,"[NA, NA]","class3.M[1,9]",NA,FALSE,FALSE," Inf",NA,"s","M","class3.M[1,9]","1","class3","Means"
"Variances.scl1","scl1","~~","scl1","0.01","0.00","0.00","[0.01, 0.01]","0.01***","0.00","[1.00, 1.00]","class3.S[1,1]",NA,NA,NA,"1.00","0.00","scl1","S","vscl1","scl1","class3","Variances"
"Variances.scl2","scl2","~~","scl2","0.01","0.00","0.00","[0.01, 0.01]","0.01***","0.00","[1.00, 1.00]","class3.S[2,2]",NA,NA,NA,"1.00","0.00","scl2","S","vscl2","scl2","class3","Variances"
"Variances.scl3","scl3","~~","scl3","0.01","0.00","0.00","[0.01, 0.01]","0.01***","0.00","[1.00, 1.00]","class3.S[3,3]",NA,NA,NA,"1.00","0.00","scl3","S","vscl3","scl3","class3","Variances"
"Variances.scl4","scl4","~~","scl4","0.01","0.00","0.00","[0.01, 0.01]","0.01***","0.00","[1.00, 1.00]","class3.S[4,4]",NA,NA,NA,"1.00","0.00","scl4","S","vscl4","scl4","class3","Variances"
"Variances.scl5","scl5","~~","scl5","0.01","0.00","0.00","[0.01, 0.01]","0.01***","0.00","[1.00, 1.00]","class3.S[5,5]",NA,NA,NA,"1.00","0.00","scl5","S","vscl5","scl5","class3","Variances"
"Variances.scl6","scl6","~~","scl6","0.01","0.00","0.00","[0.01, 0.02]","0.01***","0.00","[1.00, 1.00]","class3.S[6,6]",NA,NA,NA,"1.00","0.00","scl6","S","vscl6","scl6","class3","Variances"
"mix3.weights[1,2]","1",NA,"2","0.42","0.03","0.00","[0.35, 0.48]","0.42***",NA,NA,"mix3.weights[1,2]","0.00",FALSE,FALSE,NA,NA,"2","weights","mix3.weights[1,2]","1",NA,"Weights"
"mix3.weights[1,3]","1",NA,"3","0.15","0.02","0.00","[0.12, 0.18]","0.15***",NA,NA,"mix3.weights[1,3]","0.00",FALSE,FALSE,NA,NA,"3","weights","mix3.weights[1,3]","1",NA,"Weights"
