"comparison","null","alt","null_stat","alt_stat","lb","ub","sig"
"dif_seq","mix1","mix2",-143.232039073503,-186.665409761669,-73.9890028306965,-27.0425226263683,"*"
"dif_seq","mix2","mix3",-186.665409761669,-181.345792658794,-3.33030767834618,17.809539530404,""
"dif_one","mix1","mix2",-143.232039073503,-186.665409761669,-73.9890028306965,-27.0425226263683,"*"
"dif_one","mix1","mix3",-143.232039073503,-181.345792658794,-61.6320781575124,-15.1654827241529,"*"
