"Name","Classes","LL","n","Parameters","AIC","BIC","saBIC","Entropy","prob_min","prob_max","n_min","n_max","np_ratio","np_local"
"1",1,-3075.53103809465,439,30,6211.06207618929,6333.59705858155,6238.39180754226,1,1,1,1,1,14.6333333333333,14.6333333333333
"2",2,-2844.75882359091,439,61,5811.51764718182,6060.6721113794,5867.08810093285,0.874665045592828,0.96706459921053,0.970771041812757,0.453302961275626,0.546697038724374,7.19672131147541,6.63333333333333
"3",3,-2739.86703221026,439,92,5663.73406442051,6039.50801042343,5747.54524056961,0.902517991490156,0.948031136966751,0.974126867331731,0.289293849658314,0.407744874715262,4.77173913043478,4.23333333333333
"4",4,-2662.02043935403,439,123,5570.04087870806,6072.43430651631,5682.09277725523,0.93940259905411,0.950310744075822,0.984641364368577,0.107061503416856,0.357630979498861,3.56910569105691,1.56666666666667
"5",5,-2600.45266609862,439,154,5508.90533219725,6137.91824181082,5649.19795314248,0.949244555733206,0.961105100625163,0.994995208462071,0.100227790432802,0.373576309794989,2.85064935064935,1.46666666666667
"6",6,-2595.24298153372,439,185,5560.48596306743,6316.11835448634,5729.01930641073,0.910918800898699,0.907609938047152,0.999999993743259,0.107061503416856,0.284738041002278,2.37297297297297,1.56666666666667
