"Name","Classes","LL","n","Parameters","AIC","BIC","saBIC","Entropy","prob_min","prob_max","n_min","n_max","np_ratio","np_local"
"1",1,2593.45206433169,978,9,-5168.90412866337,-5124.93454163306,-5153.51863999152,1,1,1,1,1,108.666666666667,108.666666666667
"2",2,3875.58713484171,978,13,-7725.17426968341,-7661.66264397296,-7702.9507860463,0.94351568093713,0.966106928274199,0.989780274930564,0.244376278118609,0.755623721881391,75.2307692307692,39.8333333333333
"3",3,4173.55026625932,978,17,-8313.10053251864,-8230.04686812805,-8284.03905391626,0.9262505572943,0.931653831467919,0.981343065260665,0.0644171779141104,0.679959100204499,57.5294117647059,12.6
"4",4,4278.29739685106,978,21,-8514.59479370211,-8411.99909063138,-8478.69532013446,0.888994966996624,0.853368029947373,0.970952384464153,0.0368098159509202,0.620654396728016,46.5714285714286,8
"5",5,4314.66839781618,978,25,-8579.33679563237,-8457.1990538815,-8536.59932709945,0.863709438308627,0.727184758772401,0.964821475088827,0.0408997955010225,0.587934560327198,39.12,9.52380952380952
