"Name","Classes","LL","n","Parameters","AIC","BIC","saBIC","Entropy","prob_min","prob_max","n_min","n_max","np_ratio","np_local"
"equal",1,-1250.52773863345,200,8,2517.0554772669,2543.44201619928,2518.09718820332,1,1,1,1,1,25,25
"equal1",2,-1118.54167219219,200,14,2265.08334438438,2311.25978751605,2266.90633852312,0.930496775329907,0.960663626320166,0.994273727743174,0.295,0.705,14.2857142857143,9.07692307692308
"equal2",3,-1115.04133697499,200,20,2270.08267394999,2336.04902128095,2272.68695129105,0.944755069083371,0.938632582078569,0.997601214071173,0.075,0.63,10,2.5
